Using 1 GPU(s)...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined train indices...
Randomized indices across days ...
Split data according to indices...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined test indices...
Randomized indices across days ...
Split data according to indices...
Loading saved model results/240-120-1_lr0.1/model.pth
Saved at: epoch = 0/1, batch = 306176/306969, ntbatch = 200
Training state: loss = 0.447825, accuracy = 79.214 %
Testing state: loss = 0.453590, accuracy = 78.797 %
time/loss/accuracy (if enabled):
skip_upto_epoch: 0
args.nepochs: 3
k: 0
Finished training it 306969/306969 of epoch 0, 16.68 ms/it, loss 0.449912, accuracy 79.122 %
Finished training it 28672/306969 of epoch 1, 16.04 ms/it, loss 0.446312, accuracy 79.266 %
Testing at - 28672/306969 of epoch 0, loss 0.453465, accuracy 78.783 %, best 78.797 %
Finished training it 29696/306969 of epoch 1, 18.66 ms/it, loss 0.447703, accuracy 79.051 %
Testing at - 29696/306969 of epoch 0, loss 0.453534, accuracy 78.790 %, best 78.797 %
Finished training it 30720/306969 of epoch 1, 20.32 ms/it, loss 0.445891, accuracy 79.186 %
Testing at - 30720/306969 of epoch 0, loss 0.454785, accuracy 78.726 %, best 78.797 %
Finished training it 31744/306969 of epoch 1, 21.30 ms/it, loss 0.447302, accuracy 79.133 %
Testing at - 31744/306969 of epoch 0, loss 0.455577, accuracy 78.636 %, best 78.797 %
Finished training it 32768/306969 of epoch 1, 20.01 ms/it, loss 0.446413, accuracy 79.185 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 32768/306969 of epoch 0, loss 0.453574, accuracy 78.800 %, best 78.800 %
Finished training it 33792/306969 of epoch 1, 21.37 ms/it, loss 0.444495, accuracy 79.330 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 33792/306969 of epoch 0, loss 0.453039, accuracy 78.821 %, best 78.821 %
Finished training it 34816/306969 of epoch 1, 18.76 ms/it, loss 0.442235, accuracy 79.472 %
Testing at - 34816/306969 of epoch 0, loss 0.453624, accuracy 78.787 %, best 78.821 %
Finished training it 35840/306969 of epoch 1, 18.67 ms/it, loss 0.448073, accuracy 79.253 %
Testing at - 35840/306969 of epoch 0, loss 0.453680, accuracy 78.786 %, best 78.821 %
Finished training it 36864/306969 of epoch 1, 19.32 ms/it, loss 0.444900, accuracy 79.369 %
Testing at - 36864/306969 of epoch 0, loss 0.454463, accuracy 78.787 %, best 78.821 %
Finished training it 37888/306969 of epoch 1, 19.52 ms/it, loss 0.443545, accuracy 79.411 %
Testing at - 37888/306969 of epoch 0, loss 0.454636, accuracy 78.690 %, best 78.821 %
Finished training it 38912/306969 of epoch 1, 19.39 ms/it, loss 0.447062, accuracy 79.140 %
Testing at - 38912/306969 of epoch 0, loss 0.453275, accuracy 78.809 %, best 78.821 %
Finished training it 39936/306969 of epoch 1, 18.18 ms/it, loss 0.445680, accuracy 79.243 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 39936/306969 of epoch 0, loss 0.452935, accuracy 78.826 %, best 78.826 %
Finished training it 40960/306969 of epoch 1, 15.25 ms/it, loss 0.445038, accuracy 79.259 %
Testing at - 40960/306969 of epoch 0, loss 0.453650, accuracy 78.780 %, best 78.826 %
Finished training it 41984/306969 of epoch 1, 19.77 ms/it, loss 0.445292, accuracy 79.320 %
Testing at - 41984/306969 of epoch 0, loss 0.453578, accuracy 78.799 %, best 78.826 %
Finished training it 43008/306969 of epoch 1, 21.01 ms/it, loss 0.445380, accuracy 79.358 %
Testing at - 43008/306969 of epoch 0, loss 0.453336, accuracy 78.818 %, best 78.826 %
Finished training it 44032/306969 of epoch 1, 18.30 ms/it, loss 0.446019, accuracy 79.289 %
Testing at - 44032/306969 of epoch 0, loss 0.454284, accuracy 78.792 %, best 78.826 %
Finished training it 45056/306969 of epoch 1, 17.75 ms/it, loss 0.446743, accuracy 79.297 %
Testing at - 45056/306969 of epoch 0, loss 0.453165, accuracy 78.817 %, best 78.826 %
Finished training it 46080/306969 of epoch 1, 22.29 ms/it, loss 0.445264, accuracy 79.379 %
Testing at - 46080/306969 of epoch 0, loss 0.453344, accuracy 78.780 %, best 78.826 %
Finished training it 47104/306969 of epoch 1, 20.79 ms/it, loss 0.448394, accuracy 79.004 %
Testing at - 47104/306969 of epoch 0, loss 0.455426, accuracy 78.725 %, best 78.826 %
Finished training it 48128/306969 of epoch 1, 21.59 ms/it, loss 0.446594, accuracy 79.079 %
Testing at - 48128/306969 of epoch 0, loss 0.454429, accuracy 78.751 %, best 78.826 %
Finished training it 49152/306969 of epoch 1, 19.61 ms/it, loss 0.442505, accuracy 79.445 %
Testing at - 49152/306969 of epoch 0, loss 0.453036, accuracy 78.801 %, best 78.826 %
Finished training it 50176/306969 of epoch 1, 15.67 ms/it, loss 0.444400, accuracy 79.319 %
Testing at - 50176/306969 of epoch 0, loss 0.455053, accuracy 78.727 %, best 78.826 %
Finished training it 51200/306969 of epoch 1, 16.65 ms/it, loss 0.446407, accuracy 79.314 %
Testing at - 51200/306969 of epoch 0, loss 0.453715, accuracy 78.802 %, best 78.826 %
Finished training it 52224/306969 of epoch 1, 17.76 ms/it, loss 0.446785, accuracy 79.237 %
Testing at - 52224/306969 of epoch 0, loss 0.453110, accuracy 78.826 %, best 78.826 %
Finished training it 53248/306969 of epoch 1, 17.01 ms/it, loss 0.446259, accuracy 79.474 %
Testing at - 53248/306969 of epoch 0, loss 0.453079, accuracy 78.808 %, best 78.826 %
Finished training it 54272/306969 of epoch 1, 16.39 ms/it, loss 0.446061, accuracy 79.228 %
Testing at - 54272/306969 of epoch 0, loss 0.453548, accuracy 78.802 %, best 78.826 %
Finished training it 55296/306969 of epoch 1, 20.12 ms/it, loss 0.445090, accuracy 79.364 %
Testing at - 55296/306969 of epoch 0, loss 0.454443, accuracy 78.770 %, best 78.826 %
Finished training it 56320/306969 of epoch 1, 20.15 ms/it, loss 0.444840, accuracy 79.363 %
Testing at - 56320/306969 of epoch 0, loss 0.453494, accuracy 78.806 %, best 78.826 %
Finished training it 57344/306969 of epoch 1, 17.72 ms/it, loss 0.443055, accuracy 79.375 %
Testing at - 57344/306969 of epoch 0, loss 0.453264, accuracy 78.821 %, best 78.826 %
Finished training it 58368/306969 of epoch 1, 15.67 ms/it, loss 0.443462, accuracy 79.543 %
Testing at - 58368/306969 of epoch 0, loss 0.453265, accuracy 78.783 %, best 78.826 %
Finished training it 59392/306969 of epoch 1, 17.95 ms/it, loss 0.444995, accuracy 79.352 %
Testing at - 59392/306969 of epoch 0, loss 0.453155, accuracy 78.808 %, best 78.826 %
Finished training it 60416/306969 of epoch 1, 18.32 ms/it, loss 0.445891, accuracy 79.276 %
Testing at - 60416/306969 of epoch 0, loss 0.456277, accuracy 78.677 %, best 78.826 %
Finished training it 61440/306969 of epoch 1, 17.35 ms/it, loss 0.447866, accuracy 79.118 %
Testing at - 61440/306969 of epoch 0, loss 0.453226, accuracy 78.815 %, best 78.826 %
Finished training it 62464/306969 of epoch 1, 17.46 ms/it, loss 0.445599, accuracy 79.348 %
Testing at - 62464/306969 of epoch 0, loss 0.454299, accuracy 78.719 %, best 78.826 %
Finished training it 63488/306969 of epoch 1, 17.47 ms/it, loss 0.444131, accuracy 79.285 %
Testing at - 63488/306969 of epoch 0, loss 0.452974, accuracy 78.825 %, best 78.826 %
Finished training it 64512/306969 of epoch 1, 20.82 ms/it, loss 0.446178, accuracy 79.192 %
Testing at - 64512/306969 of epoch 0, loss 0.454153, accuracy 78.771 %, best 78.826 %
Finished training it 65536/306969 of epoch 1, 18.25 ms/it, loss 0.447994, accuracy 79.109 %
Testing at - 65536/306969 of epoch 0, loss 0.453436, accuracy 78.794 %, best 78.826 %
Finished training it 66560/306969 of epoch 1, 15.59 ms/it, loss 0.445215, accuracy 79.362 %
Testing at - 66560/306969 of epoch 0, loss 0.453216, accuracy 78.790 %, best 78.826 %
Finished training it 67584/306969 of epoch 1, 16.77 ms/it, loss 0.443322, accuracy 79.457 %
Testing at - 67584/306969 of epoch 0, loss 0.453573, accuracy 78.796 %, best 78.826 %
Finished training it 68608/306969 of epoch 1, 16.80 ms/it, loss 0.445581, accuracy 79.324 %
Testing at - 68608/306969 of epoch 0, loss 0.453361, accuracy 78.784 %, best 78.826 %
Finished training it 69632/306969 of epoch 1, 15.80 ms/it, loss 0.445089, accuracy 79.271 %
Testing at - 69632/306969 of epoch 0, loss 0.452974, accuracy 78.802 %, best 78.826 %
Finished training it 70656/306969 of epoch 1, 14.27 ms/it, loss 0.444628, accuracy 79.369 %
Testing at - 70656/306969 of epoch 0, loss 0.453837, accuracy 78.786 %, best 78.826 %
Finished training it 71680/306969 of epoch 1, 14.90 ms/it, loss 0.446535, accuracy 79.276 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 71680/306969 of epoch 0, loss 0.453228, accuracy 78.831 %, best 78.831 %
Finished training it 72704/306969 of epoch 1, 18.29 ms/it, loss 0.442898, accuracy 79.421 %
Testing at - 72704/306969 of epoch 0, loss 0.454035, accuracy 78.694 %, best 78.831 %
Finished training it 73728/306969 of epoch 1, 18.01 ms/it, loss 0.445057, accuracy 79.422 %
Testing at - 73728/306969 of epoch 0, loss 0.453801, accuracy 78.765 %, best 78.831 %
Finished training it 74752/306969 of epoch 1, 17.63 ms/it, loss 0.445025, accuracy 79.308 %
Testing at - 74752/306969 of epoch 0, loss 0.455205, accuracy 78.625 %, best 78.831 %
Finished training it 75776/306969 of epoch 1, 17.57 ms/it, loss 0.444622, accuracy 79.356 %
Testing at - 75776/306969 of epoch 0, loss 0.453156, accuracy 78.796 %, best 78.831 %
Finished training it 76800/306969 of epoch 1, 17.51 ms/it, loss 0.444781, accuracy 79.298 %
Testing at - 76800/306969 of epoch 0, loss 0.454260, accuracy 78.734 %, best 78.831 %
Finished training it 77824/306969 of epoch 1, 17.26 ms/it, loss 0.445178, accuracy 79.459 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 77824/306969 of epoch 0, loss 0.452786, accuracy 78.856 %, best 78.856 %
Finished training it 78848/306969 of epoch 1, 17.85 ms/it, loss 0.444906, accuracy 79.308 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 78848/306969 of epoch 0, loss 0.452319, accuracy 78.874 %, best 78.874 %
Finished training it 79872/306969 of epoch 1, 18.15 ms/it, loss 0.443915, accuracy 79.306 %
Testing at - 79872/306969 of epoch 0, loss 0.453357, accuracy 78.819 %, best 78.874 %
Finished training it 80896/306969 of epoch 1, 16.61 ms/it, loss 0.444152, accuracy 79.391 %
Testing at - 80896/306969 of epoch 0, loss 0.453490, accuracy 78.842 %, best 78.874 %
Finished training it 81920/306969 of epoch 1, 17.27 ms/it, loss 0.445338, accuracy 79.339 %
Testing at - 81920/306969 of epoch 0, loss 0.452485, accuracy 78.860 %, best 78.874 %
Finished training it 82944/306969 of epoch 1, 18.38 ms/it, loss 0.443505, accuracy 79.388 %
Testing at - 82944/306969 of epoch 0, loss 0.453748, accuracy 78.759 %, best 78.874 %
Finished training it 83968/306969 of epoch 1, 19.11 ms/it, loss 0.443519, accuracy 79.340 %
Testing at - 83968/306969 of epoch 0, loss 0.453552, accuracy 78.852 %, best 78.874 %
Finished training it 84992/306969 of epoch 1, 20.04 ms/it, loss 0.444186, accuracy 79.467 %
Testing at - 84992/306969 of epoch 0, loss 0.452740, accuracy 78.852 %, best 78.874 %
Finished training it 86016/306969 of epoch 1, 19.33 ms/it, loss 0.445558, accuracy 79.276 %
Testing at - 86016/306969 of epoch 0, loss 0.453347, accuracy 78.785 %, best 78.874 %
Finished training it 87040/306969 of epoch 1, 18.86 ms/it, loss 0.444819, accuracy 79.301 %
Testing at - 87040/306969 of epoch 0, loss 0.453133, accuracy 78.819 %, best 78.874 %
Finished training it 88064/306969 of epoch 1, 17.94 ms/it, loss 0.442807, accuracy 79.507 %
Testing at - 88064/306969 of epoch 0, loss 0.452512, accuracy 78.836 %, best 78.874 %
Finished training it 89088/306969 of epoch 1, 15.32 ms/it, loss 0.444618, accuracy 79.344 %
Testing at - 89088/306969 of epoch 0, loss 0.452995, accuracy 78.831 %, best 78.874 %
Finished training it 90112/306969 of epoch 1, 18.16 ms/it, loss 0.444089, accuracy 79.491 %
Testing at - 90112/306969 of epoch 0, loss 0.452939, accuracy 78.810 %, best 78.874 %
Finished training it 91136/306969 of epoch 1, 17.75 ms/it, loss 0.444079, accuracy 79.272 %
Testing at - 91136/306969 of epoch 0, loss 0.453403, accuracy 78.795 %, best 78.874 %
Finished training it 92160/306969 of epoch 1, 16.91 ms/it, loss 0.445433, accuracy 79.270 %
Testing at - 92160/306969 of epoch 0, loss 0.453702, accuracy 78.810 %, best 78.874 %
Finished training it 93184/306969 of epoch 1, 17.52 ms/it, loss 0.444466, accuracy 79.348 %
Testing at - 93184/306969 of epoch 0, loss 0.453219, accuracy 78.811 %, best 78.874 %
Finished training it 94208/306969 of epoch 1, 17.55 ms/it, loss 0.444097, accuracy 79.350 %
Testing at - 94208/306969 of epoch 0, loss 0.452464, accuracy 78.832 %, best 78.874 %
Finished training it 95232/306969 of epoch 1, 17.21 ms/it, loss 0.442462, accuracy 79.499 %
Testing at - 95232/306969 of epoch 0, loss 0.452287, accuracy 78.845 %, best 78.874 %
Finished training it 96256/306969 of epoch 1, 15.24 ms/it, loss 0.442743, accuracy 79.456 %
Testing at - 96256/306969 of epoch 0, loss 0.454545, accuracy 78.724 %, best 78.874 %
Finished training it 97280/306969 of epoch 1, 18.00 ms/it, loss 0.442754, accuracy 79.507 %
Testing at - 97280/306969 of epoch 0, loss 0.452753, accuracy 78.827 %, best 78.874 %
Finished training it 98304/306969 of epoch 1, 17.32 ms/it, loss 0.442385, accuracy 79.398 %
Testing at - 98304/306969 of epoch 0, loss 0.452818, accuracy 78.837 %, best 78.874 %
Finished training it 99328/306969 of epoch 1, 18.75 ms/it, loss 0.445284, accuracy 79.382 %
Testing at - 99328/306969 of epoch 0, loss 0.454062, accuracy 78.755 %, best 78.874 %
Finished training it 100352/306969 of epoch 1, 17.72 ms/it, loss 0.443735, accuracy 79.450 %
Testing at - 100352/306969 of epoch 0, loss 0.452586, accuracy 78.807 %, best 78.874 %
Finished training it 101376/306969 of epoch 1, 17.95 ms/it, loss 0.443203, accuracy 79.425 %
Testing at - 101376/306969 of epoch 0, loss 0.453342, accuracy 78.826 %, best 78.874 %
Finished training it 102400/306969 of epoch 1, 14.90 ms/it, loss 0.444481, accuracy 79.395 %
Testing at - 102400/306969 of epoch 0, loss 0.454307, accuracy 78.725 %, best 78.874 %
Finished training it 103424/306969 of epoch 1, 16.60 ms/it, loss 0.445336, accuracy 79.333 %
Testing at - 103424/306969 of epoch 0, loss 0.453246, accuracy 78.835 %, best 78.874 %
Finished training it 104448/306969 of epoch 1, 18.04 ms/it, loss 0.445305, accuracy 79.203 %
Testing at - 104448/306969 of epoch 0, loss 0.452983, accuracy 78.802 %, best 78.874 %
Finished training it 105472/306969 of epoch 1, 18.47 ms/it, loss 0.445386, accuracy 79.294 %
Testing at - 105472/306969 of epoch 0, loss 0.453122, accuracy 78.845 %, best 78.874 %
Finished training it 106496/306969 of epoch 1, 19.64 ms/it, loss 0.442797, accuracy 79.398 %
Testing at - 106496/306969 of epoch 0, loss 0.456626, accuracy 78.620 %, best 78.874 %
Finished training it 107520/306969 of epoch 1, 18.20 ms/it, loss 0.443247, accuracy 79.463 %
Testing at - 107520/306969 of epoch 0, loss 0.453085, accuracy 78.812 %, best 78.874 %
Finished training it 108544/306969 of epoch 1, 16.84 ms/it, loss 0.443657, accuracy 79.366 %
Testing at - 108544/306969 of epoch 0, loss 0.452198, accuracy 78.869 %, best 78.874 %
Finished training it 109568/306969 of epoch 1, 17.26 ms/it, loss 0.443329, accuracy 79.389 %
Testing at - 109568/306969 of epoch 0, loss 0.452320, accuracy 78.851 %, best 78.874 %
Finished training it 110592/306969 of epoch 1, 18.01 ms/it, loss 0.443894, accuracy 79.296 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 110592/306969 of epoch 0, loss 0.452437, accuracy 78.892 %, best 78.892 %
Finished training it 111616/306969 of epoch 1, 18.42 ms/it, loss 0.446420, accuracy 79.231 %
Testing at - 111616/306969 of epoch 0, loss 0.452616, accuracy 78.845 %, best 78.892 %
Finished training it 112640/306969 of epoch 1, 14.37 ms/it, loss 0.445492, accuracy 79.291 %
Testing at - 112640/306969 of epoch 0, loss 0.452419, accuracy 78.865 %, best 78.892 %
Finished training it 113664/306969 of epoch 1, 17.89 ms/it, loss 0.444670, accuracy 79.281 %
Testing at - 113664/306969 of epoch 0, loss 0.453005, accuracy 78.856 %, best 78.892 %
Finished training it 114688/306969 of epoch 1, 19.04 ms/it, loss 0.443376, accuracy 79.407 %
Testing at - 114688/306969 of epoch 0, loss 0.454053, accuracy 78.781 %, best 78.892 %
Finished training it 115712/306969 of epoch 1, 17.55 ms/it, loss 0.442586, accuracy 79.476 %
Testing at - 115712/306969 of epoch 0, loss 0.454192, accuracy 78.840 %, best 78.892 %
Finished training it 116736/306969 of epoch 1, 16.56 ms/it, loss 0.445088, accuracy 79.361 %
Testing at - 116736/306969 of epoch 0, loss 0.452989, accuracy 78.855 %, best 78.892 %
Finished training it 117760/306969 of epoch 1, 16.58 ms/it, loss 0.442411, accuracy 79.536 %
Testing at - 117760/306969 of epoch 0, loss 0.452996, accuracy 78.779 %, best 78.892 %
Finished training it 118784/306969 of epoch 1, 16.57 ms/it, loss 0.444008, accuracy 79.298 %
Testing at - 118784/306969 of epoch 0, loss 0.452788, accuracy 78.787 %, best 78.892 %
Finished training it 119808/306969 of epoch 1, 16.37 ms/it, loss 0.446460, accuracy 79.234 %
Testing at - 119808/306969 of epoch 0, loss 0.454636, accuracy 78.710 %, best 78.892 %
Finished training it 120832/306969 of epoch 1, 16.61 ms/it, loss 0.441604, accuracy 79.529 %
Testing at - 120832/306969 of epoch 0, loss 0.452544, accuracy 78.842 %, best 78.892 %
Finished training it 121856/306969 of epoch 1, 17.02 ms/it, loss 0.443615, accuracy 79.511 %
Testing at - 121856/306969 of epoch 0, loss 0.452571, accuracy 78.849 %, best 78.892 %
Finished training it 122880/306969 of epoch 1, 18.96 ms/it, loss 0.444006, accuracy 79.234 %
Testing at - 122880/306969 of epoch 0, loss 0.452085, accuracy 78.871 %, best 78.892 %
Finished training it 123904/306969 of epoch 1, 19.66 ms/it, loss 0.446678, accuracy 79.205 %
Testing at - 123904/306969 of epoch 0, loss 0.452239, accuracy 78.879 %, best 78.892 %
Finished training it 124928/306969 of epoch 1, 19.59 ms/it, loss 0.442887, accuracy 79.358 %
Testing at - 124928/306969 of epoch 0, loss 0.452867, accuracy 78.818 %, best 78.892 %
Finished training it 125952/306969 of epoch 1, 16.78 ms/it, loss 0.445478, accuracy 79.370 %
Testing at - 125952/306969 of epoch 0, loss 0.453217, accuracy 78.835 %, best 78.892 %
Finished training it 126976/306969 of epoch 1, 15.81 ms/it, loss 0.446018, accuracy 79.221 %
Testing at - 126976/306969 of epoch 0, loss 0.452155, accuracy 78.874 %, best 78.892 %
Finished training it 128000/306969 of epoch 1, 16.05 ms/it, loss 0.442072, accuracy 79.496 %
Testing at - 128000/306969 of epoch 0, loss 0.452337, accuracy 78.835 %, best 78.892 %
Finished training it 129024/306969 of epoch 1, 16.25 ms/it, loss 0.444517, accuracy 79.326 %
Testing at - 129024/306969 of epoch 0, loss 0.452574, accuracy 78.846 %, best 78.892 %
Finished training it 130048/306969 of epoch 1, 17.25 ms/it, loss 0.446661, accuracy 79.188 %
Testing at - 130048/306969 of epoch 0, loss 0.452673, accuracy 78.854 %, best 78.892 %
Finished training it 131072/306969 of epoch 1, 16.82 ms/it, loss 0.445094, accuracy 79.234 %
Testing at - 131072/306969 of epoch 0, loss 0.452887, accuracy 78.848 %, best 78.892 %
Finished training it 132096/306969 of epoch 1, 19.79 ms/it, loss 0.445458, accuracy 79.292 %
Testing at - 132096/306969 of epoch 0, loss 0.452689, accuracy 78.831 %, best 78.892 %
Finished training it 133120/306969 of epoch 1, 19.31 ms/it, loss 0.442160, accuracy 79.591 %
Testing at - 133120/306969 of epoch 0, loss 0.452972, accuracy 78.802 %, best 78.892 %
Finished training it 134144/306969 of epoch 1, 17.02 ms/it, loss 0.443045, accuracy 79.321 %
Testing at - 134144/306969 of epoch 0, loss 0.452290, accuracy 78.881 %, best 78.892 %
Finished training it 135168/306969 of epoch 1, 15.86 ms/it, loss 0.440787, accuracy 79.422 %
Testing at - 135168/306969 of epoch 0, loss 0.452454, accuracy 78.841 %, best 78.892 %
Finished training it 136192/306969 of epoch 1, 16.51 ms/it, loss 0.444595, accuracy 79.434 %
Testing at - 136192/306969 of epoch 0, loss 0.453140, accuracy 78.850 %, best 78.892 %
Finished training it 137216/306969 of epoch 1, 15.99 ms/it, loss 0.443830, accuracy 79.456 %
Saving model to results/240-120-1_lr0.1/model.pth
Testing at - 137216/306969 of epoch 0, loss 0.451908, accuracy 78.893 %, best 78.893 %
Finished training it 138240/306969 of epoch 1, 18.16 ms/it, loss 0.444811, accuracy 79.322 %
Testing at - 138240/306969 of epoch 0, loss 0.452031, accuracy 78.887 %, best 78.893 %
Finished training it 139264/306969 of epoch 1, 17.93 ms/it, loss 0.444279, accuracy 79.227 %
Testing at - 139264/306969 of epoch 0, loss 0.453308, accuracy 78.798 %, best 78.893 %
Finished training it 140288/306969 of epoch 1, 18.11 ms/it, loss 0.440065, accuracy 79.571 %
Testing at - 140288/306969 of epoch 0, loss 0.453496, accuracy 78.865 %, best 78.893 %
Finished training it 141312/306969 of epoch 1, 19.62 ms/it, loss 0.443324, accuracy 79.382 %
